userId,name,gender,age,occupation,zip_code
1265,Felicia Richardson,F,63,11,27120
1277,Christian Davis,M,31,4,37822
1303,David Gonzales,M,53,14,44287
1307,Aaron Richardson,M,29,27,83303
1330,April Allen,F,70,30,05674
1354,Michael Maxwell,M,57,22,03280
1358,David Patton,M,25,15,14048
1367,Tara Bautista,F,54,30,60716
1371,Joseph Greene,M,49,1,25778
1402,Eric Ewing,M,35,7,32120
1405,George West,M,54,9,37055
1427,Paul King,M,25,24,12286
1466,Amanda Bauer,F,24,11,40065
1480,Kelly Mccullough,F,66,26,87832
1490,Donald Cortez,M,14,12,83544
1503,Catherine Brooks,F,51,27,68929
1535,Suzanne White,F,45,5,62955
1553,Andrea Hayes,F,52,12,58740
1560,Susan Carter,F,41,21,96302
1595,Patricia Gordon,F,40,14,56599
1616,Kathryn Lee,F,22,10,73080
1617,Zachary Bryant,M,22,10,33498
1624,Alex Hays,M,52,4,57724
1644,Timothy Jordan,M,56,2,61497
1652,Larry Rivera,M,45,20,65710
1655,Kevin Carr,M,54,1,40717
1657,Alexandra Garcia,F,18,30,85296
1668,Jennifer Park,F,52,21,08524
1669,Raymond Sullivan,M,64,25,26707
1676,Richard Caldwell,M,14,1,42726
1693,Emily Goodman,F,12,20,66132
1709,Bethany Hernandez,F,59,25,03169
1740,Andrew Robinson,M,44,2,24102
1749,Pamela Bradley,F,35,8,26432
1760,Ryan Weiss,M,22,9,33371
1779,Kristine Salinas,F,45,9,24457
1816,Steven Gallegos,M,36,8,37973
1855,Autumn Hunt,F,31,29,73296
1866,Cody Chambers,M,33,29,11893
1870,Mary Rodriguez,F,25,30,13766
1892,Michelle Austin,F,55,3,59811
1894,Kylie Ross,F,54,4,60139
1914,Robert Aguilar,M,39,26,42726
1945,Sydney Suarez,F,24,18,78435
1979,Rachel Burton,F,33,4,63402
2002,Mary Barajas,F,67,25,64518
2090,Lauren Stephens,F,42,3,17010
2105,John Campbell,M,33,3,66708
2111,Christopher Santiago,M,30,29,76239
2119,Wayne Fletcher,M,47,9,40447
2150,Don Brown,M,43,14,75583
2177,Susan Benson,F,21,8,52202
2179,James Flores,M,26,15,17584
2202,Austin Leon,M,37,28,84998
2203,Barbara Lopez,F,63,10,71899
2211,Sierra Watkins,F,52,14,78196
2222,Michael Sutton,M,62,5,38954
2264,Matthew Jimenez,M,56,19,14298
2287,Joseph Bird,M,65,18,95852
2340,Dominique Hughes,F,51,3,59340
2345,Brian Richardson,M,38,25,53943
2360,Amy Chandler,F,66,26,70054
2379,John Schmidt,M,60,8,51271
2390,William Guerrero,M,69,2,99913
2397,Marcus Vaughan,M,57,21,62879
2415,Tony Mclaughlin,M,70,24,90277
2420,Aaron Conley,M,34,17,85922
2424,Darryl Hansen,M,29,3,73614
2428,Karen Dean,F,28,29,72427
2430,Gregory Ashley,M,37,8,39841
2444,Mary Lewis,F,62,30,67956
2460,Robin Walker,F,48,20,82262
2462,Sean Garcia,M,55,8,74771
2463,Bernard Obrien,M,36,17,24553
2468,John Bonilla,M,64,26,42425
2480,Brent Perez,M,36,6,72488
2496,Stephen Salinas,M,46,28,55924
2517,Nicole Moore,F,67,17,37529
2535,Jason Williams,M,33,5,17744
2539,Colleen Bates,F,12,28,38329
2557,Alyssa Anderson,F,16,9,22064
2559,Debra Friedman,F,45,1,41527
2568,Lisa Wood,F,40,2,53188
2585,Christopher Daniels,M,46,4,50388
2601,Nicholas Potter,M,66,9,99096
2625,Austin Cameron,M,45,10,28668
2626,Taylor Allen,M,49,6,11518
2636,Pamela Nixon,F,24,25,56727
2649,Katie Paul,F,42,9,84822
2695,Dillon Jones,M,41,24,90341
2709,Rachel Richards,F,29,15,70277
2719,James Hernandez,M,45,25,88256
2775,Jeffrey Boyd,M,16,5,75319
2778,April Young,F,22,22,67183
2789,Alexis Bruce,F,65,11,34412
2801,Diana Patel,F,67,1,73547
2834,Frederick Richardson,M,24,28,52145
2883,Christopher Thompson,M,70,4,15128
2886,Rachel Gross,F,42,7,25447
2887,Amanda Franklin,F,31,11,11857
2889,Adam Smith,M,38,15,90636
2910,Jennifer Daniels,F,12,24,98779
2911,Sarah Andersen,F,15,16,22384
2933,Alexander Lopez,M,23,17,06791
2951,Michael Blair,M,62,21,80506
2965,Crystal Potts,F,35,25,63650
2974,Brittany Owens,F,16,19,83720
3013,Elizabeth Silva,F,37,16,15808
3019,Donna Shelton,F,51,28,35955
3022,Shannon Munoz,F,69,27,46442
3025,Richard Noble,M,61,8,29550
3029,Bruce Bryan,M,37,15,94964
3046,Sean Daniels,M,66,20,33529
3074,Jillian Walker,F,70,25,68237
3123,Nicholas Kennedy,M,66,11,25164
3128,Cheryl Marquez,F,47,18,01307
3168,Charles Novak,M,47,16,44166
3180,Daniel Conner,M,70,21,69929
3186,Stacy Salas,F,67,30,27900
3199,Timothy Anderson,M,55,12,20789
3225,Shari Anderson,F,53,11,54560
3238,Richard Turner,M,55,15,95959
3244,Robert Lambert,M,39,13,12201
3302,Nicole Vaughn,F,49,3,60227
3316,Jason Woods,M,57,17,90905
3351,Deborah Moore,F,56,2,23337
3369,Crystal Duran,F,28,28,31860
3394,Tonya Wright,F,42,14,82994
3395,Hailey Estrada,F,56,24,29623
3397,Anita Hernandez,F,51,20,55994
3399,Brooke Fuller,F,63,16,98544
3403,Bonnie Martin,F,47,8,06153
3467,Stacey Mccarthy,F,26,4,12119
3503,Kristopher Copeland,M,36,13,41171
3517,Benjamin Ford,M,30,13,81173
3543,Melissa Kelley,F,24,6,56842
3597,Sean Watts,M,64,28,54966
3624,Mathew Navarro,M,32,3,58742
3637,Stacy Smith,F,45,15,36897
3648,Scott Henson,M,50,4,92857
3710,Stephen Graves,M,52,14,45405
3736,Timothy Rogers,M,40,26,78561
3742,Richard Ferguson,M,47,1,22525
3751,Ann Hill,F,31,6,82640
3757,Tammy Carter,F,39,19,58561
3760,Tyler Rios,M,31,2,18053
3789,Timothy Singh,M,55,9,86805
3794,Terry Adkins,F,38,26,70973
3825,Stephanie Gallegos,F,24,21,68132
3831,Douglas Bass,M,53,2,82776
3832,Thomas Thompson,M,69,2,86316
3833,Janice Jackson,F,31,16,06320
3850,Kevin Walker,M,21,25,98057
3866,Lori Thompson,F,33,23,45432
3892,Philip Rowe,M,57,27,86761
3903,Amanda Snyder,F,30,3,50071
3935,Barry Landry,M,12,29,30256
3937,Alyssa Christensen,F,54,24,78457
3950,Melissa Moore,F,43,12,45456
3959,Jean Bell,F,64,19,82000
3970,Amanda Mathis,F,65,26,96687
3992,Jessica Anderson,F,21,11,98181
4006,Jorge Zuniga,M,24,17,09835
4009,Mary Tran,F,52,25,30467
4013,Anthony Williams,M,30,13,50706
4016,Morgan Meyer,F,52,21,15722
4031,Tiffany Franklin,F,32,5,39015
4063,Michelle Jones,F,63,21,69909
4068,Darrell Lee,M,66,28,85052
4083,Matthew Mcdaniel,M,54,29,11129
4118,Ruben Bennett,M,29,10,76282
4150,Donna Clark,F,47,8,49067
4162,Joel Calderon,M,48,29,09858
4197,Ernest Taylor,M,14,14,56841
4206,Caitlin Smith,F,70,15,70694
4213,Melissa Moore,F,22,1,57465
4238,Phillip Woods,M,37,4,39430
4250,Tiffany Lyons,F,39,19,38548
4282,Brian Robinson,M,28,4,94124
4288,William Lee,M,29,10,30618
4317,Katherine Smith,F,60,23,17022
4347,James Patton,M,26,10,27680
4383,Heather Mack,F,38,24,33981
4387,Andrew Adams,M,25,10,73303
4388,Antonio Shields,M,59,3,65743
4389,Mary Moran,F,51,5,56016
4395,Thomas Griffith,M,31,16,77302
4409,Bradley White,M,62,18,47347
4428,Lisa Wilson,F,46,15,49741
4487,Laura Greene,F,26,14,13669
4506,Linda Perez,F,37,12,07963
4532,Sheri Trujillo,F,18,7,43154
4546,David Horton,M,35,7,64822
4559,Dean Williams,M,56,13,69304
4568,Melissa Robinson,F,52,10,70116
4571,Jennifer Sullivan,F,65,24,80642
4576,Andrew Reynolds,M,48,8,73048
4581,Suzanne Mccann,F,38,13,28339
4590,Jordan Bush,M,58,18,66512
4623,Daniel Moyer,M,55,11,99052
4628,Lori Willis,F,49,21,71298
4631,Nancy Lopez,F,25,6,17922
4632,Sandra Roberts,F,32,24,75837
4636,Hannah Carter,F,63,20,52928
4656,John Brown,M,15,11,99474
4668,Pamela Davis,F,12,13,29296
4670,Anne Williams,F,66,2,58956
4675,Jasmine Jones,F,36,4,93949
4676,Lisa Woodward,F,56,17,32482
4683,Crystal Erickson,F,18,4,01006
4692,Cole Johnson,M,32,24,19368
4711,Gabriel Elliott,M,50,30,40586
4732,Tyler Sellers,M,18,1,77441
4758,Glen Ross,M,18,8,54852
4775,Virginia Murray,F,52,23,40337
4781,David Johnston,M,67,16,78556
4805,Andrew Franklin,M,49,19,84423
4808,Travis Brooks,M,24,18,37474
4815,Katie Rollins,F,40,26,88219
4825,Teresa Holland,F,30,3,41310
4866,Robert Rivera,M,35,23,87857
4900,Hannah Hansen,F,21,13,19524
4909,Bryce Miller,M,25,11,53849
4924,Lauren Yates,F,27,1,69811
4929,Ronald Fernandez,M,69,30,48165
4933,Martha Chan,F,26,21,13894
4956,Samantha Bryant,F,52,17,84042
4957,Heather Jones,F,15,19,03029
5017,Christopher Newton,M,31,23,88060
5018,Hannah Mcintyre,F,52,22,14130
5040,Robert Coleman,M,20,20,14345
5045,Timothy Gray,M,17,29,82372
5052,Walter Yates,M,43,6,97649
5053,Tanya Moody,F,45,2,94250
5062,Lee Johnson,M,39,13,34224
5068,Paula Horton,F,37,25,81226
5101,Joseph Nguyen,M,42,24,32526
5114,Joseph Black,M,55,1,70634
5117,Candace Baird,F,51,6,31961
5137,Rebecca Williams,F,63,1,80676
5141,Rachel Perez,F,18,14,07202
5183,Jacqueline Cox,F,55,12,09780
5195,Michael Henderson,M,69,3,59253
5201,Donna Mccarthy,F,13,29,91526
5204,Sarah Livingston,F,30,16,78838
5281,Mark Rowe,M,69,12,01409
5320,Michael Nolan,M,54,12,40848
5322,Richard Roberts,M,48,11,73164
5345,Barbara Reilly,F,44,30,86433
5362,Sherry Anderson,F,63,30,31911
5373,Sara Hughes,F,14,5,65956
5376,Nicole Weaver,F,30,14,49845
5377,Katherine Mcguire,F,52,22,58986
5393,Gregory Perez,M,52,27,35936
5405,Christian Jones,M,21,17,38587
5413,Gary Walters,M,62,5,66627
5431,William Barber,M,55,16,40285
5440,Tony Garcia,M,21,18,88874
5450,Christy Heath,F,66,29,59221
5463,Laura Moss,F,40,6,38099
5465,Mark Greene,M,48,14,31360
5489,Jessica Johnson,F,45,27,35985
5503,Lisa Martin,F,64,2,92143
5547,Katherine Beck,F,23,17,34612
5572,Julie Turner,F,43,1,80478
5615,Heather Williams,F,64,14,21859
5642,Matthew Howard,M,45,24,77173
5692,Kevin Gutierrez,M,66,5,43932
5706,Craig Johnson,M,68,24,37287
5781,Christopher Robinson,M,32,15,38602
5787,Robert Cole,M,12,17,55103
5802,Christopher Ochoa,M,69,21,43189
5803,Robert Reed,M,15,28,12505
5813,Laura Thompson,F,64,8,47561
5838,Rebecca Hill,F,46,7,48050
5842,Cynthia Silva,F,61,30,48817
5852,Jason Mitchell,M,43,25,51790
5873,Robert Li,M,23,4,66577
5878,Mary Campbell,F,12,1,46451
5891,Nicholas Zuniga,M,23,28,23777
5892,Stephanie Oconnor,F,15,12,53396
5893,Elizabeth Moore,F,36,26,42549
5952,James Mcguire,M,16,9,46041
5970,Alexis Brown,F,48,21,37540
5977,Deborah King,F,26,9,59446
6033,Rebecca Kim,F,42,18,58472
6038,George Lewis,M,35,5,93767
6077,Shelby Cooley,F,34,15,50629
6079,Kevin Cardenas,M,43,14,66794
6085,Elizabeth Garcia,F,44,4,55114
6100,Charles Baxter,M,64,16,32408
6118,Angel Freeman,F,45,15,26204
6122,Sophia Jones,F,43,11,01024
6156,Philip Banks,M,49,19,42357
6162,Robert Hobbs,M,45,16,97041
6188,Cassandra Mack,F,25,21,62344
6211,Wanda Hernandez,F,56,24,67333
6217,Leslie Mack,F,49,19,94958
6237,Jessica Kane,F,48,22,32291
6272,Erica Evans,F,56,27,32520
6285,Brooke Manning,F,58,7,62287
6293,Robin Jimenez,F,54,24,96999
6313,Michelle Silva,F,21,26,92451
6353,William Miller,M,70,9,19346
6365,John Jarvis,M,55,16,69730
6387,Robert James,M,54,7,78546
6391,Jessica Wilson,F,52,19,92925
6393,Laura Mcknight,F,41,22,71502
6400,Julie Robbins,F,17,15,08813
6434,Kara Martin,F,31,25,73602
6448,Heather Kramer,F,36,11,54238
6462,Stephen Moore,M,39,1,54463
6470,Steven Clayton,M,64,19,20738
6480,Nicholas Powell,M,26,28,71591
6517,Crystal Stephens,F,70,3,31155
6532,Anthony Barker,M,69,5,88859
6550,Debbie Zimmerman,F,15,1,50974
6558,Lisa Cline,F,65,15,26460
6574,Pamela Brown,F,55,9,28507
6679,Pedro Ward,M,48,30,76397
6680,Kelly Hill,F,70,6,18484
6688,Alexis Cole,F,51,18,92191
6713,Christopher Torres,M,35,27,32125
6729,Brittany Singh,F,40,29,37307
6731,Kayla Williams,F,41,30,16942
6751,Molly Ross,F,70,18,05496
6752,Robert Martinez,M,20,19,81449
6773,Frank Miller,M,43,21,83535
6813,Gabriel Perez,M,59,30,50268
6816,Julian Washington,M,25,29,02940
6825,John Phillips,M,25,19,01727
6836,Dennis Watson,M,28,4,18118
6840,Nicole Duran,F,46,8,99622
6874,Craig James,M,23,4,68876
6916,Michael Atkins,M,36,10,22757
6921,Daniel Stephenson,M,51,30,26147
6933,Christian Mack,M,43,29,49712
6936,Misty Williams,F,35,30,90477
6943,Shelly Butler,F,63,3,09182
6958,Kevin Gibbs,M,13,9,33548
6988,Rachel Murphy,F,49,23,07338
6992,Jacqueline Ballard,F,24,15,35854
7002,Christopher Ali,M,17,6,23568
7010,Robert Goodman,M,63,3,09260
7036,Wayne Anderson,M,48,1,73274
7037,John Perez,M,64,30,21585
7056,Adam Smith,M,63,25,03640
7083,Brian Herring,M,29,17,66517
7096,Mckenzie Haas,F,26,25,13614
7114,Paula Campbell,F,56,2,78112
7131,Scott Ward,M,15,27,48802
7137,Kelly Jackson,M,50,5,88512
7192,Chase Smith,M,66,1,63164
7210,Paul Dixon,M,37,24,62028
7213,Michael Martin,M,51,24,90680
7239,Justin Douglas,M,48,20,55038
7248,Kayla Shaw,F,51,17,06252
7280,Elizabeth Davis,F,54,14,10534
7285,Emma Ruiz,F,57,21,67607
7288,Matthew Smith,M,47,22,54512
7340,Matthew Hicks,M,32,22,57786
7343,Brandy Fowler,F,31,24,54369
7372,Erin Middleton,F,51,25,84107
7403,Jonathan Miller,M,39,2,24007
7435,Christopher Middleton,M,45,18,51593
7450,Jonathan Sanchez,M,48,11,13910
7457,Timothy Ramos,M,38,17,29697
7470,Brett Gonzales,M,39,26,17633
7490,Pamela Juarez,F,60,13,27393
7491,Ryan Flores,M,36,29,37000
7518,Danielle Adams,F,60,16,69342
7525,Anne Wright,F,70,12,51127
7531,Jeffrey Thompson,M,66,23,34222
7537,James Taylor,M,24,28,15605
7571,Alexandra Grant,F,69,9,45425
7581,Shane Harper,M,52,30,40057
7602,Kristen Miranda,F,17,26,35107
7657,Ruth Johnson,F,29,9,15329
7669,Zachary Owen,M,52,5,35792
7688,Elizabeth Ramirez,F,59,7,05040
7699,Dawn Smith,F,29,5,86161
7721,Thomas Perkins,M,22,27,80992
7784,Mark Collins,M,45,30,48177
7790,Patty Jones,F,38,29,08751
7806,Robert Romero,M,60,8,86878
7814,Brad Jones,M,64,28,24221
7830,Darryl Lang,M,56,23,85609
7856,Brett King,M,60,14,82613
7886,Jessica Smith,F,64,23,10160
7889,Todd Vaughn,M,55,1,57135
7906,William Harmon,M,37,9,50763
7927,Gary Curtis,M,19,11,10536
7949,Samantha Taylor,F,36,2,94956
7955,Nathan Macdonald,M,58,6,33856
7961,Vincent Williams,M,28,29,14905
7977,Raymond Griffin,M,61,13,05959
7985,Mason Gutierrez,M,37,18,13082
7987,Debbie Massey,F,29,26,40133
7999,Alexander Lopez,M,48,2,72386
8001,Michael Everett,M,13,10,64939
8020,Jennifer Holder,F,27,19,62367
8028,Frances Larson,F,17,5,16621
8038,Julie Harrington,F,47,16,58911
8040,Brian Marshall,M,44,14,49416
8061,Tina Morrison,F,55,22,35246
8105,Jeffrey Flores,M,68,24,31538
8127,Tiffany Sanchez,F,39,7,90596
8136,Crystal Hatfield,F,56,15,56358
8149,Shane Harper,M,42,23,22437
8183,Andrew Johnson,M,40,13,51090
8192,Robert Gallegos,M,23,6,07598
8240,Michelle Pena,F,67,23,66224
8247,Tina Johnson,F,61,27,47470
8263,Anthony Brown,M,25,13,11001
8270,Debbie Frost,F,57,14,36154
8320,Robert Austin,M,43,18,95400
8323,Jennifer Davis,F,66,11,91494
8363,John Green,M,17,30,87869
8367,Veronica Torres,F,34,13,21149
8368,Derrick Yoder,M,20,21,99015
8409,Kenneth George,M,56,25,36772
8423,Samantha Bullock,F,34,19,33034
8428,Jacob Williams,M,41,12,34405
8434,Amanda Juarez,F,17,5,67244
8437,Derrick Melton,M,43,10,80140
8460,Stacy Mckee,F,61,2,41932
8461,Tracy Padilla,F,70,30,96226
8472,Emily Lopez,F,15,30,85840
8483,Kendra Castro,F,54,28,75675
8511,Rebecca Walker,F,35,22,69463
8601,John Williams,M,38,19,31265
8619,Kimberly Cooper,F,13,13,09364
8623,James Wells,M,38,29,88654
8631,Andrew Thomas,M,38,23,82038
8643,Holly Gibson,F,28,15,63276
8644,Cheryl Holt,F,26,22,21737
8661,Tiffany Miller,F,33,30,59772
8688,Stacey Huynh,F,52,13,27970
8718,Michael Sanford,M,21,18,08800
8732,William Schwartz,M,41,7,82498
8773,Christine Rogers,F,30,12,49766
8775,Jessica Johnson,F,22,2,10902
8781,Shari Sims,F,46,5,89816
8814,Alison Snyder,F,26,20,90167
8823,Douglas Leon,M,16,13,66519
8826,Brittany Harris,F,46,19,05230
8843,Erik Young,M,36,19,47225
8852,Michael Oliver,M,58,2,40579
8860,Harold Avery,M,48,26,72250
8867,Dennis Mcintosh,M,37,28,75482
8879,James Lee,M,28,1,26272
8895,Amber Carter,F,60,25,36373
8940,Carla Miller,F,70,1,77341
8957,Jamie Wise,M,56,18,68695
8966,Anna Hudson,F,16,22,49749
8987,Beth Hensley,F,47,6,44543
9022,Wesley Bell,M,67,10,83507
9028,Taylor Olson,F,54,28,42881
9090,Jason Macias,M,23,8,24978
9125,Gloria Gardner,F,51,28,16139
9143,Martha Diaz,F,58,2,78501
9147,Tanner Oliver,M,31,23,39985
9148,Erin Fuller,F,55,2,94900
9151,Rachel Solis,F,43,12,26044
9196,Jonathan Lam,M,20,2,23812
9228,Mark Hunter,M,65,20,89036
9277,Amy Chan,F,69,7,28477
9293,James Burton,M,49,7,55835
9318,Olivia Cook,F,31,4,49050
9359,Rachel Boyd,F,69,20,61898
9361,Darrell Romero,M,26,1,39439
9365,Chad Morales,M,46,10,93882
9391,Stephen Raymond,M,14,29,61697
9405,Patricia Myers,F,21,6,83834
9442,Charles Nelson,M,44,28,37385
9463,Michael Davis,M,58,1,39486
9466,Alexis Bolton,F,45,23,97153
9488,Karen Russell,F,23,18,86386
9494,Kevin Garcia,M,22,3,68919
9501,Cole Harrison,M,25,22,96488
9507,Veronica Thomas,F,13,25,21582
9529,Kristy Sanchez,F,17,4,37888
9573,Kristin Snyder,F,36,25,11694
9615,Kristy Parker,F,22,12,85383
9620,Evan Martinez,M,64,6,33134
9642,Suzanne Bowman,F,38,17,75334
9669,Phillip Hicks,M,50,2,99117
9685,Allison Holt,F,36,17,94426
9703,Katie Farley,F,31,14,34709
9707,Kevin Herrera,M,60,18,77254
9712,Crystal Lee,F,31,19,96550
9750,Edward Moreno,M,49,2,53220
9759,Brandon Russell,M,51,23,77669
9789,Ryan Anderson,M,19,21,81161
9800,Karen Phillips,F,67,19,56224
9809,Gina Morales,F,42,19,87316
9830,Rebekah Powell,F,22,5,42447
9849,Crystal Branch,F,32,15,90976
9852,Courtney Wagner,F,42,11,81121
9858,Bailey Martinez,F,61,2,63488
9908,Krista Hernandez,F,61,20,29251
9928,Mercedes Shaw,F,39,19,27108
9945,Natalie Terry,F,27,6,85216
9956,Denise Barajas,F,19,4,79298
9998,Richard Garcia,M,17,17,35090
10041,Ashley Krause,F,12,10,56356
10042,Christine Howard,F,27,5,20706
10083,Lisa Rogers,F,15,29,09889
10147,Darrell Williams,M,23,11,95679
10167,Brian Baker,M,33,19,44716
10172,Larry Kelly,M,35,30,47658
10196,Joshua Gray,M,62,26,99094
10205,Ann Alexander,F,60,10,71185
10242,Tracy Davis,M,59,25,45117
10270,Beth Edwards,F,42,7,05965
10281,Kristin Vazquez,F,52,24,20238
10320,Joshua Lester,M,17,8,16222
10346,Corey Evans,M,70,1,91837
10357,Timothy Moore,M,26,25,46139
10394,Luis Sims,M,60,2,19691
10423,John Sanchez,M,59,30,08830
10447,Joseph Mcdaniel,M,27,28,31928
10496,Cindy Nelson,F,22,16,65378
10503,Joseph Hernandez,M,24,11,07649
10538,Phillip Schmitt,M,55,22,19421
10568,Roger Thomas,M,55,14,52711
10605,Ashley Fischer,F,58,9,16358
10623,Terry Harris,M,52,21,18572
10659,Peter Ramirez,M,58,26,91553
10666,Sabrina Nelson,F,30,12,88549
10684,Felicia Miller,F,68,20,43423
10692,Brittany Cohen,F,26,30,44509
10696,Jessica Levy,F,30,26,09838
10730,Shannon Gaines,F,38,20,22581
10746,Tammy Lowe,F,69,25,87433
10761,Stacy Bryant,F,20,11,44955
10764,Craig Saunders,M,60,1,49197
10801,Ronald Diaz,M,23,29,90984
10808,Zachary Fletcher,M,39,2,64108
10832,James Perkins,M,32,8,92150
10848,Hailey Salinas,F,48,4,17909
10864,Jennifer Jones,F,45,18,08975
10878,Rebecca James,F,49,27,41454
10883,Dan Craig,M,16,14,37805
10892,Amanda Gonzalez,F,23,6,56063
10968,Wendy Castro,F,54,14,04831
10988,Alice Price,F,14,23,41674
11002,Robert Ware,M,66,5,63277
11004,David Johnson,M,29,21,54018
11017,Eric Edwards,M,16,8,81063
11048,Norman Mack,M,23,22,73948
11052,Michael Lozano,M,50,18,39433
11055,Jason Martinez,M,63,5,40241
11087,Deborah Maldonado,F,38,19,06798
11102,Jennifer Miller,F,45,9,38773
11115,Brandon Nelson,M,44,24,32141
11141,Michael King,M,48,2,55436
11166,Kevin Jackson,M,23,6,87151
11200,Alison Young,F,44,9,44493
11249,Rebecca Davis,F,18,29,63022
11250,Martin Lowe,M,18,27,40248
11278,Debra Smith,F,59,1,27624
11305,Patrick Barker,M,65,18,41388
11322,Emma Richards,F,64,4,11345
11342,Teresa Nelson,F,44,27,09571
11375,Debra Mendez,F,62,11,23674
11386,Andrea Yu,F,32,1,74978
11430,Ebony Scott,F,37,11,52269
11444,Scott Thomas,M,21,6,18881
11468,Anthony Mccoy,M,44,7,85481
11471,Amanda Lee,F,49,28,70859
11484,Martin Weaver,M,54,2,20058
11500,Jill Nicholson,F,26,10,65230
11539,Wayne Levy,M,67,20,37963
11547,Susan Williams,F,67,10,46289
11566,Leon Parker,M,48,8,84459
11579,Carol Jordan,F,35,29,67167
11587,David Russell,M,59,27,60307
11625,Jeremy Flores,M,34,20,17397
11629,Alicia Howard,F,20,15,94863
11631,Taylor Jones,F,17,5,32308
11633,Ashley Oconnor,F,22,28,23600
11637,Katie Johnson,F,26,2,88047
11638,Roy Wilson,M,64,20,14074
11639,Brett Johnson,M,60,16,57244
11663,Tammy Ibarra,F,54,14,48907
11695,Kevin Thompson,M,28,22,84829
11701,Paul Mack,M,44,16,60878
11719,Christopher Chavez,M,22,6,91548
11733,Amanda Reyes,F,67,9,74732
11747,Deborah Arellano,F,68,12,92940
11756,Christopher Pittman,M,43,22,68325
11773,Timothy Stevens,M,28,3,82347
11778,Charlene Robles,F,34,17,88450
11786,Judith Jones,F,16,29,06975
11829,Kyle Underwood,M,26,8,20865
11831,Shannon Ruiz,F,70,30,67129
11837,Tammy Hamilton,F,39,28,36980
11852,Brian Collins,M,33,9,31482
11856,Rebecca Rhodes,F,27,5,75281
11908,Isaac Sanders,M,65,22,98261
11930,Jonathan Davis,M,54,2,53396
11935,Jeffery Hernandez,M,34,15,92783
11951,Donald Romero,M,22,12,34975
11952,Lynn Moore,F,35,24,93173
11959,Emily Villarreal,F,62,21,46733
11967,Adrian King,M,67,22,25269
12026,Kimberly Mcdonald,F,23,21,45446
12053,Mallory Bishop,F,54,13,65762
12071,Timothy Bowen,M,35,30,52727
12083,Russell Figueroa,M,21,28,73589
